Rating Zip,State,Territory
08311,NJ,1
08314,NJ,1
08315,NJ,1
08316,NJ,1
08321,NJ,1
08324,NJ,1
08327,NJ,1
08329,NJ,1
08345,NJ,1
08348,NJ,1
08349,NJ,1
08362,NJ,1
07823,NJ,2
07829,NJ,2
07830,NJ,2
07831,NJ,2
07832,NJ,2
07833,NJ,2
07838,NJ,2
07844,NJ,2
07863,NJ,2
07865,NJ,2
07875,NJ,2
07881,NJ,2
07882,NJ,2
08530,NJ,2
08556,NJ,2
08559,NJ,2
08802,NJ,2
08804,NJ,2
08808,NJ,2
08825,NJ,2
08826,NJ,2
08827,NJ,2
08829,NJ,2
08834,NJ,2
08848,NJ,2
08865,NJ,2
08867,NJ,2
08870,NJ,2
08886,NJ,2
08204,NJ,3
08210,NJ,3
08212,NJ,3
08214,NJ,3
08219,NJ,3
08242,NJ,3
08246,NJ,3
08251,NJ,3
08252,NJ,3
08014,NJ,4
08023,NJ,4
08038,NJ,4
08067,NJ,4
08069,NJ,4
08070,NJ,4
08072,NJ,4
08079,NJ,4
08323,NJ,4
08007,NJ,5
08029,NJ,5
08030,NJ,5
08031,NJ,5
08033,NJ,5
08035,NJ,5
08049,NJ,5
08059,NJ,5
08063,NJ,5
08065,NJ,5
08066,NJ,5
08075,NJ,5
08076,NJ,5
08077,NJ,5
08078,NJ,5
08083,NJ,5
08084,NJ,5
08086,NJ,5
08090,NJ,5
08097,NJ,5
08099,NJ,5
08106,NJ,5
08107,NJ,5
08108,NJ,5
08322,NJ,5
08328,NJ,5
08332,NJ,5
08221,NJ,6
08223,NJ,6
08226,NJ,6
08230,NJ,6
08244,NJ,6
08270,NJ,6
08022,NJ,7
08041,NJ,7
08501,NJ,7
08505,NJ,7
08511,NJ,7
08512,NJ,7
08515,NJ,7
08518,NJ,7
08520,NJ,7
08528,NJ,7
08533,NJ,7
08553,NJ,7
08554,NJ,7
08555,NJ,7
08561,NJ,7
08562,NJ,7
08620,NJ,7
08640,NJ,7
08641,NJ,7
08690,NJ,7
08691,NJ,7
07921,NJ,8
07934,NJ,8
07977,NJ,8
07978,NJ,8
07979,NJ,8
08551,NJ,8
08557,NJ,8
08801,NJ,8
08803,NJ,8
08807,NJ,8
08821,NJ,8
08822,NJ,8
08833,NJ,8
08835,NJ,8
08844,NJ,8
08853,NJ,8
08858,NJ,8
08868,NJ,8
08869,NJ,8
08876,NJ,8
08885,NJ,8
08887,NJ,8
08888,NJ,8
08889,NJ,8
08890,NJ,8
08005,NJ,9
08006,NJ,9
08008,NJ,9
08050,NJ,9
08087,NJ,9
08092,NJ,9
08224,NJ,9
08722,NJ,9
08731,NJ,9
08734,NJ,9
08741,NJ,9
08752,NJ,9
08758,NJ,9
07005,NJ,10
07046,NJ,10
07834,NJ,10
07842,NJ,10
07878,NJ,10
07920,NJ,10
07922,NJ,10
07926,NJ,10
07927,NJ,10
07928,NJ,10
07933,NJ,10
07935,NJ,10
07938,NJ,10
07939,NJ,10
07940,NJ,10
07946,NJ,10
07950,NJ,10
07960,NJ,10
07961,NJ,10
07962,NJ,10
07963,NJ,10
07974,NJ,10
07976,NJ,10
07980,NJ,10
07981,NJ,10
08846,NJ,10
08880,NJ,10
07820,NJ,11
07821,NJ,11
07822,NJ,11
07825,NJ,11
07826,NJ,11
07827,NJ,11
07828,NJ,11
07836,NJ,11
07837,NJ,11
07839,NJ,11
07840,NJ,11
07846,NJ,11
07847,NJ,11
07848,NJ,11
07850,NJ,11
07851,NJ,11
07852,NJ,11
07853,NJ,11
07857,NJ,11
07860,NJ,11
07870,NJ,11
07874,NJ,11
07876,NJ,11
07877,NJ,11
07879,NJ,11
07880,NJ,11
07890,NJ,11
07701,NJ,12
07702,NJ,12
07703,NJ,12
07704,NJ,12
07709,NJ,12
07711,NJ,12
07712,NJ,12
07715,NJ,12
07716,NJ,12
07717,NJ,12
07718,NJ,12
07719,NJ,12
07720,NJ,12
07724,NJ,12
07732,NJ,12
07737,NJ,12
07738,NJ,12
07739,NJ,12
07748,NJ,12
07752,NJ,12
07753,NJ,12
07754,NJ,12
07755,NJ,12
07756,NJ,12
07757,NJ,12
07758,NJ,12
07760,NJ,12
07762,NJ,12
07764,NJ,12
07799,NJ,12
08720,NJ,12
08730,NJ,12
08742,NJ,12
08750,NJ,12
07027,NJ,13
07035,NJ,13
07082,NJ,13
07403,NJ,13
07405,NJ,13
07420,NJ,13
07421,NJ,13
07422,NJ,13
07432,NJ,13
07436,NJ,13
07440,NJ,13
07442,NJ,13
07444,NJ,13
07450,NJ,13
07451,NJ,13
07452,NJ,13
07456,NJ,13
07457,NJ,13
07465,NJ,13
07480,NJ,13
08010,NJ,14
08011,NJ,14
08015,NJ,14
08016,NJ,14
08019,NJ,14
08036,NJ,14
08042,NJ,14
08046,NJ,14
08048,NJ,14
08052,NJ,14
08054,NJ,14
08055,NJ,14
08057,NJ,14
08060,NJ,14
08064,NJ,14
08068,NJ,14
08073,NJ,14
08088,NJ,14
08109,NJ,14
08001,NJ,15
08020,NJ,15
08025,NJ,15
08027,NJ,15
08028,NJ,15
08039,NJ,15
08051,NJ,15
08056,NJ,15
08061,NJ,15
08062,NJ,15
08071,NJ,15
08074,NJ,15
08085,NJ,15
08093,NJ,15
08096,NJ,15
08098,NJ,15
08302,NJ,15
08313,NJ,15
08317,NJ,15
08318,NJ,15
08319,NJ,15
08320,NJ,15
08340,NJ,15
08343,NJ,15
08344,NJ,15
08347,NJ,15
08352,NJ,15
08353,NJ,15
07511,NJ,16
07512,NJ,16
07727,NJ,16
07731,NJ,16
08721,NJ,16
08723,NJ,16
08724,NJ,16
08732,NJ,16
08735,NJ,16
08736,NJ,16
08738,NJ,16
08740,NJ,16
08751,NJ,16
08753,NJ,16
08754,NJ,16
08755,NJ,16
08756,NJ,16
08757,NJ,16
08759,NJ,16
08202,NJ,17
08218,NJ,17
08243,NJ,17
08245,NJ,17
08247,NJ,17
08250,NJ,17
08260,NJ,17
07416,NJ,18
07418,NJ,18
07419,NJ,18
07428,NJ,18
07435,NJ,18
07438,NJ,18
07439,NJ,18
07460,NJ,18
07461,NJ,18
07801,NJ,18
07802,NJ,18
07803,NJ,18
07806,NJ,18
07843,NJ,18
07845,NJ,18
07849,NJ,18
07855,NJ,18
07856,NJ,18
07866,NJ,18
07869,NJ,18
07871,NJ,18
07885,NJ,18
07924,NJ,18
07930,NJ,18
07931,NJ,18
07945,NJ,18
07970,NJ,18
08201,NJ,19
08203,NJ,19
08205,NJ,19
08213,NJ,19
08215,NJ,19
08217,NJ,19
08220,NJ,19
08225,NJ,19
08231,NJ,19
08234,NJ,19
08240,NJ,19
08241,NJ,19
08330,NJ,19
07023,NJ,20
07066,NJ,20
07067,NJ,20
07076,NJ,20
07080,NJ,20
07090,NJ,20
07091,NJ,20
07092,NJ,20
07730,NJ,20
07734,NJ,20
07735,NJ,20
07901,NJ,20
07902,NJ,20
07932,NJ,20
07936,NJ,20
08805,NJ,20
08812,NJ,20
08816,NJ,20
08817,NJ,20
08818,NJ,20
08820,NJ,20
08828,NJ,20
08830,NJ,20
08836,NJ,20
08837,NJ,20
08840,NJ,20
08850,NJ,20
08854,NJ,20
08855,NJ,20
08862,NJ,20
08863,NJ,20
08873,NJ,20
08875,NJ,20
08879,NJ,20
08882,NJ,20
08884,NJ,20
08899,NJ,20
08901,NJ,20
08904,NJ,20
08905,NJ,20
08906,NJ,20
08933,NJ,20
08989,NJ,20
08002,NJ,21
08003,NJ,21
08004,NJ,21
08009,NJ,21
08012,NJ,21
08018,NJ,21
08021,NJ,21
08026,NJ,21
08032,NJ,21
08034,NJ,21
08037,NJ,21
08043,NJ,21
08045,NJ,21
08053,NJ,21
08080,NJ,21
08081,NJ,21
08089,NJ,21
08091,NJ,21
08094,NJ,21
08095,NJ,21
08310,NJ,21
08312,NJ,21
08346,NJ,21
08360,NJ,21
08361,NJ,21
08502,NJ,22
08504,NJ,22
08525,NJ,22
08534,NJ,22
08536,NJ,22
08540,NJ,22
08541,NJ,22
08542,NJ,22
08543,NJ,22
08544,NJ,22
08550,NJ,22
08558,NJ,22
08560,NJ,22
08601,NJ,22
08602,NJ,22
08603,NJ,22
08604,NJ,22
08605,NJ,22
08606,NJ,22
08607,NJ,22
08608,NJ,22
08609,NJ,22
08610,NJ,22
08611,NJ,22
08618,NJ,22
08619,NJ,22
08625,NJ,22
08628,NJ,22
08629,NJ,22
08638,NJ,22
08647,NJ,22
08648,NJ,22
08650,NJ,22
08810,NJ,22
08823,NJ,22
08824,NJ,22
08852,NJ,22
08902,NJ,22
07009,NJ,23
07011,NJ,23
07012,NJ,23
07013,NJ,23
07014,NJ,23
07015,NJ,23
07030,NJ,23
07044,NJ,23
07057,NJ,23
07070,NJ,23
07096,NJ,23
07110,NJ,23
07401,NJ,23
07417,NJ,23
07423,NJ,23
07424,NJ,23
07430,NJ,23
07446,NJ,23
07463,NJ,23
07481,NJ,23
07495,NJ,23
07507,NJ,23
07607,NJ,23
07628,NJ,23
07630,NJ,23
07641,NJ,23
07642,NJ,23
07645,NJ,23
07649,NJ,23
07656,NJ,23
07662,NJ,23
07663,NJ,23
07675,NJ,23
07676,NJ,23
07677,NJ,23
08809,NJ,23
07042,NJ,24
07043,NJ,24
07710,NJ,24
07721,NJ,24
07722,NJ,24
07723,NJ,24
07726,NJ,24
07728,NJ,24
07733,NJ,24
07740,NJ,24
07746,NJ,24
07747,NJ,24
07750,NJ,24
07751,NJ,24
07763,NJ,24
07765,NJ,24
08527,NJ,24
08701,NJ,24
08733,NJ,24
08739,NJ,24
08831,NJ,24
08857,NJ,24
08903,NJ,24
07001,NJ,25
07004,NJ,25
07006,NJ,25
07007,NJ,25
07008,NJ,25
07016,NJ,25
07033,NJ,25
07034,NJ,25
07036,NJ,25
07040,NJ,25
07041,NJ,25
07045,NJ,25
07054,NJ,25
07058,NJ,25
07059,NJ,25
07064,NJ,25
07065,NJ,25
07068,NJ,25
07069,NJ,25
07077,NJ,25
07079,NJ,25
07081,NJ,25
07083,NJ,25
07088,NJ,25
07095,NJ,25
07204,NJ,25
07462,NJ,25
08832,NJ,25
08859,NJ,25
08861,NJ,25
08871,NJ,25
08872,NJ,25
08101,NJ,26
08102,NJ,26
08103,NJ,26
08104,NJ,26
08105,NJ,26
08110,NJ,26
08326,NJ,26
08341,NJ,26
08342,NJ,26
08350,NJ,26
07003,NJ,27
07021,NJ,27
07028,NJ,27
07029,NJ,27
07031,NJ,27
07032,NJ,27
07039,NJ,27
07047,NJ,27
07052,NJ,27
07071,NJ,27
07072,NJ,27
07073,NJ,27
07075,NJ,27
07078,NJ,27
07086,NJ,27
07087,NJ,27
07093,NJ,27
07094,NJ,27
07099,NJ,27
07109,NJ,27
07410,NJ,27
07458,NJ,27
07470,NJ,27
07474,NJ,27
07604,NJ,27
07621,NJ,27
07640,NJ,27
07646,NJ,27
07647,NJ,27
07648,NJ,27
07652,NJ,27
07653,NJ,27
07661,NJ,27
08232,NJ,28
08248,NJ,28
08401,NJ,28
08402,NJ,28
08403,NJ,28
08404,NJ,28
08405,NJ,28
08406,NJ,28
07060,NJ,29
07061,NJ,29
07062,NJ,29
07063,NJ,29
08510,NJ,29
08514,NJ,29
08526,NJ,29
08535,NJ,29
07002,NJ,30
07010,NJ,30
07022,NJ,30
07026,NJ,30
07051,NJ,30
07055,NJ,30
07074,NJ,30
07097,NJ,30
07201,NJ,30
07202,NJ,30
07203,NJ,30
07205,NJ,30
07206,NJ,30
07207,NJ,30
07208,NJ,30
07302,NJ,30
07303,NJ,30
07304,NJ,30
07305,NJ,30
07306,NJ,30
07307,NJ,30
07308,NJ,30
07309,NJ,30
07310,NJ,30
07311,NJ,30
07407,NJ,30
07501,NJ,30
07502,NJ,30
07503,NJ,30
07504,NJ,30
07505,NJ,30
07506,NJ,30
07508,NJ,30
07509,NJ,30
07510,NJ,30
07513,NJ,30
07514,NJ,30
07522,NJ,30
07524,NJ,30
07533,NJ,30
07538,NJ,30
07543,NJ,30
07544,NJ,30
07601,NJ,30
07602,NJ,30
07603,NJ,30
07606,NJ,30
07608,NJ,30
07624,NJ,30
07626,NJ,30
07627,NJ,30
07631,NJ,30
07643,NJ,30
07644,NJ,30
07657,NJ,30
07660,NJ,30
07666,NJ,30
07670,NJ,30
07017,NJ,31
07018,NJ,31
07019,NJ,31
07020,NJ,31
07024,NJ,31
07050,NJ,31
07101,NJ,31
07102,NJ,31
07103,NJ,31
07104,NJ,31
07105,NJ,31
07106,NJ,31
07107,NJ,31
07108,NJ,31
07111,NJ,31
07112,NJ,31
07114,NJ,31
07175,NJ,31
07192,NJ,31
07193,NJ,31
07605,NJ,31
07620,NJ,31
07632,NJ,31
07650,NJ,31
